Company Name,Industry,Round/Series,Location,About Company,Cleaned_amount($),Year,Company/Brand,HeadQuarter,Sector,Investor,Amount($),Stage,Company_Name,column10
Clensta,"Biotechnology, Health Care, Wellness",Seed,"New Delhi, Delhi, India",A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,,2018,,,,,,,,
Jetbrain Robotics,"Health Care, Hospital, Medical, Robotics",Seed,"Gurgaon, Haryana, India","Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",,2018,,,,,,,,
Medimetry,Health Care,Seed,"Haryana, Haryana, India","MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",,2018,,,,,,,,
Healthkart,"E-Commerce, Fitness, Health Care",,"Gurgaon, Haryana, India","The one stop shop for health, fitness & beauty.",,2018,,,,,,,,
Indiabulls Ventures,"Financial Services, Venture Capital",Equity,"Mumbai, Maharashtra, India",Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,,2018,,,,,,,,
Vistara,Aerospace,Equity,"Haryana, Haryana, India",Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),,2018,,,,,,,,
ClearTax,"Accounting, Apps, FinTech",Series B,"New Delhi, Delhi, India",ClearTax India helps individuals prepare and e-file their Income Tax Return online.,,2018,,,,,,,,
Shuttl,"Apps, Mobile, Transportation",Debt Financing,"Gurgaon, Haryana, India","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",,2018,,,,,,,,
GuruQ,Reading Apps,Seed,"New Delhi, Delhi, India",A one of its kind digital integrated platform connecting tutors and students.,,2018,,,,,,,,
Azure Power,"Energy, Renewable Energy, Solar",Equity,"New Delhi, Delhi, India","Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",,2018,,,,,,,,
Cube,"Banking, Financial Services, FinTech",Series A,"Mumbai, Maharashtra, India",Cube is consumer banking focused fintech company.,,2018,,,,,,,,
RAHI Care,"Health Care, Hospital",,"Chandigarh, Chandigarh, India",RAHI Care is a Health Care company.,,2018,,,,,,,,
Mynvax,Biotechnology,Angel,"Bangalore, Karnataka, India",Mynvax is a biotech Company.,,2018,,,,,,,,
Loans4SME,Financial Services,Seed,"Mumbai, Maharashtra, India",Loans4SME is an alternative lending platform.,,2018,,,,,,,,
UpCyclersLab,"Apps, Education, Retail",Seed,"Mumbai, Maharashtra, India",UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,,2018,,,,,,,,
Cellerite Systems,Electric Vehicle,Seed,"Hyderabad, Andhra Pradesh, India",Cellerite Systems is a charging solutions provider for electric vehicles.,,2018,,,,,,,,
Taru Naturals,"Agriculture, Farming",Seed,"Mumbai, Maharashtra, India",Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,,2018,,,,,,,,
LetsMD,"Fitness, Health Care, Wellness",Seed,"New Delhi, Delhi, India",LetsMD.com is a marketplace for elective surgeries,,2018,,,,,,,,
Twenty Two Motors,"Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",,"Haryana, Haryana, India",Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,,2018,,,,,,,,
Truebil,"Automotive, E-Commerce, Marketplace",Series A,"Mumbai, Maharashtra, India","Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",,2018,,,,,,,,
FarmersFZ,Agriculture,Seed,"Kochi, Kerala, India",FarmersFZ is an online venture for fresh and safe vegetables and agri products.,,2018,,,,,,,,
Worxogo,Information Technology,Series A,"Bangalore, Karnataka, India",worxogo’s is a pioneering persuasive technology products align employee behaviours .,,2018,,,,,,,,
Vivish Technologies (myGate),"Apps, Information Services, Information Technology",Series A,"Bengaluru, Karnataka, India",India's leading mobile based security management solution .,,2018,,,,,,,,
Singularity Dynamics,Artificial Intelligence,Seed,"Bengaluru, Karnataka, India",Singularity Dynamics is a Chip-design testing startup.,,2018,,,,,,,,
Virtual MetalStreet(MetalStreet),"B2B, Marketplace",Angel,"Bengaluru, Karnataka, India",Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,,2018,,,,,,,,
Veritas Finance,Financial Services,,"Guindy, Tamil Nadu, India",Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,,2018,,,,,,,,
Manjushree Technopack,Packaging Services,Equity,"Bangalore, Karnataka, India",Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,,2018,,,,,,,,
GoZefo,"Computer, Furniture, Software",,"Bangalore, Karnataka, India",Startup working on a white space in the eCommerce industry.,,2018,,,,,,,,
Zomato,"Food Delivery, Hospitality, Reservations, Restaurants, Search Engine",Equity,"Gurgaon, Haryana, India",Zomato is a search app offering detailed information for restaurants as well as online food delivery.,,2018,,,,,,,,
Innov8 Coworking,"Collaboration, Communities, Coworking, Real Estate",Seed,"New Delhi, Delhi, India",Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,,2018,,,,,,,,
RevFin,"Accounting, Banking, Finance",Seed,"Delhi, Delhi, India",RevFin is a digital lending company.,,2018,,,,,,,,
Lavelle Networks,"Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",,"Bengaluru, Karnataka, India",Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,,2018,,,,,,,,
Blackbuck,"Information Services, Internet, Logistics, Supply Chain Management, Transportation",Series D,"Bengaluru, Karnataka, India",Blackbuck is a logistics startup based in India.,,2018,,,,,,,,
Cardekho,"Automotive, E-Commerce, Information Services",Series C,"Gurgaon, Haryana, India",Cardekho is a car search venture that helps users buy cars that are right for them.,,2018,,,,,,,,
ElasticRun,"Delivery, Logistics, Transportation",Series B,"Pune, Maharashtra, India",ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,,2018,,,,,,,,
Droom Technology Private Limited,"Automotive, E-Commerce Platforms, Marketplace",Series E,"Gurgaon, Haryana, India",Droom is a marketplace for automobiles and automobile services.,,2018,,,,,,,,
Vogo Rentals,"Last Mile Transportation, Railroad, Transportation, Travel",Debt Financing,"Kormangala, Karnataka, India",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,,2018,,,,,,,,
InnerChef,"Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",,"Gurgaon, Haryana, India",InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,,2018,,,,,,,,
LivQuik,"FinTech, Mobile, Mobile Payments, Payments, Retail Technology",,"Mumbai, Maharashtra, India",LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,,2018,,,,,,,,
Disprz,"E-Learning, Education",Debt Financing,"Chennai, Tamil Nadu, India","Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",,2018,,,,,,,,
9stacks,"Online Games, Software",Series A,"Delhi, Delhi, India",Online gaming startup.,,2018,,,,,,,,
Origo,—,,"Gurgaon, Haryana, India","Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",,2018,,,,,,,,
YourOwnROOM,"Online Portals, Property Management, Rental",Seed,"Bangalore, Karnataka, India","Good quality, strategically located homes closer to work for millennials",,2018,,,,,,,,
Vahdam Teas,"E-Commerce, Food and Beverage, Tea",Series B,"New Delhi, Delhi, India",Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,,2018,,,,,,,,
Spoofin,"Music, Social Network, Video",,"New Delhi, Delhi, India",A social networking app that lets you create and view Spoofs of your favourite videos.,,2018,,,,,,,,
Strom Motors,Automotive,Angel,"Mumbai, Maharashtra, India",Strom Motors is a smart urban mobility Company.,,2018,,,,,,,,
PharmEasy,"Health Care, Pharmaceutical, Wellness",Series C,"Mumbai, Maharashtra, India",PharmEasy - Indias largest healthcare delivery platform,,2018,,,,,,,,
Licious,"Delivery Service, Food and Beverage, Food Delivery",Series C,"Bengaluru, Karnataka, India","Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",,2018,,,,,,,,
Stanza Living,"Hospitality, Information Technology, Travel Accommodations",,"New Delhi, Delhi, India",Stanza Living is a co-living platform created for students moving to a new place.,,2018,,,,,,,,
docturnal,"Biotechnology, Diabetes, Health Care",Seed,"Hyderabad, Andhra Pradesh, India","Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",,2018,,,,,,,,
Bounce (Metro Bikes),"Autonomous Vehicles, Last Mile Transportation, Recreational Vehicles, Rental",Debt Financing,"Bangalore, Karnataka, India","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",,2018,,,,,,,,
Technology 9 Labs (T9L),Information Technology,,"New Delhi, Delhi, India",Technology 9 Labs is an Information Technology and Services company.,,2018,,,,,,,,
Goals101,Financial Services,Seed,"Delhi, Delhi, India",Goals101 is a one of the fastest growing big-data platforms.,,2018,,,,,,,,
Satya MicroCapital,"Finance, Financial Exchanges, Financial Services, Micro Lending",,"New Delhi, Delhi, India",New Delhi-based non-banking financial company.,,2018,,,,,,,,
Ummeed Housing Finance Private Limited,"Finance, Financial Services",Series C,"Haryana, Haryana, India",Ummeed Housing Finance Private Limited,,2018,,,,,,,,
StockEdge,"Analytics, Apps, Market Research",Seed,"Kolkata, West Bengal, India","StockEdge is a unique platform, which is 100% focused on research and analytics",,2018,,,,,,,,
Sequretek,—,,"Mumbai, Maharashtra, India",Sequretek is a cyber security start-up.,,2018,,,,,,,,
Avenues Payments India Pvt. Ltd.,—,,"Mumbai, Maharashtra, India",Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.,,2018,,,,,,,,
Qbera,"Finance, Financial Services",,"Bangalore, Karnataka, India",Qbera is a managed marketplace for unsecured personal loans.,,2018,,,,,,,,
Urban Ladder,"E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet",Debt Financing,"Bangalore, Karnataka, India",Urban Ladder is a Bangalore-based online furniture company.,,2018,,,,,,,,
Planet11 eCommerce Solutions India (Avenue11),—,,"Bengaluru, Karnataka, India","Planet11 is backed by SK Planet, which is a part of the SK Group – one of the largest conglomerates in South Korea.",,2018,,,,,,,,
DailyNinja,"Apps, Mobile, Mobile Apps, Software",Series A,"Bengaluru, Karnataka, India","Daily Ninja, a mobile app that delivers daily needs on a subscription model",,2018,,,,,,,,
Iba Halal Care,—,Series A,"Ahmedabad, Gujarat, India",Iba Halal Care is a cosmetics brand company.,,2018,,,,,,,,
Knocksense,"News, Publishing, Social Media",Seed,"Lucknow, Uttar Pradesh, India",Knocksense is a fast growing lifestyle website.,,2018,,,,,,,,
Togedr,—,,"Gurgaon, Haryana, India",Togedr is an activity discovery & booking platform.,,2018,,,,,,,,
Parkwheels,"Industrial, Industrial Automation",Seed,"Haryana, Haryana, India","Parkwheels aims at solving the big, bad & unsexy parking problems of India.",,2018,,,,,,,,
ShareChat,"Internet, Mobile Apps, Social Network",Series C,"Bangalore, Karnataka, India",ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,,2018,,,,,,,,
Cyclops Medtech,"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Seed,"Bangalore, Karnataka, India",Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,,2018,,,,,,,,
Livspace,"E-Commerce, Furniture, Interior Design",Series C,"Bangalore, Karnataka, India","Livspace is the new online shopping destination where you can design, decorate and furnish your dream home.",,2018,,,,,,,,
NewsBytes,"Apps, Events, News",Seed,"Gurgaon, Haryana, India",NewsBytes provides your everyday news in a contextual timeline to reduce information overload.,,2018,,,,,,,,
Leena AI,"Artificial Intelligence, Human Resources, Information Services, Information Technology",Seed,"Gurgaon, Haryana, India",Leena is smart AI powered HR companion dedicated towards engaging employees.,,2018,,,,,,,,
Max Healthcare,"Health Care, Hospital, Supply Chain Management",,"New Delhi, Delhi, India",Max Healthcare is one of the leading chain of hospitals in India.,,2018,,,,,,,,
GoBolt,"Logistics, Railroad, Transportation",,"New Delhi, Delhi, India",Delhi-based logistics technology.,,2018,,,,,,,,
